,title,dorms
0,Chávez Hall and Tubman Hall,"
Chávez Hall


Single Suite Style
Fitness Center 
Computing Center 
Collaborative Learning Area
Contains a shared building kitchen




Tubman Hall


Single Suite Style
Fitness Center 
Computing Center 
Collaborative Learning Area
Contains a shared building kitchen




Yang Hall


Energy Efficient
Air Contioned Rooms
Honors Students
Continuing Student Community
Contains a shared building kitchen




Lauterbur Hall


Energy Efficient
Air Conditioned Rooms
2YLC Students 
Contains a shared building kitchen




"
1,Yang Hall and Lauterbur Hall,Dorm
2,Location,West Campus
3,Residence Halls,Undergraduate Dorms
4,,More Questions?
5,Contact Us,Via Phone
